pub_date,opinion_type_id,opinion_type,qmt_code
1/5/2023,1,无保留,603281.SH
1/5/2023,6,未经审计,688633.SH
1/6/2023,1,无保留,301510.SZ
1/6/2023,1,无保留,001239.SZ
1/6/2023,1,无保留,688620.SH
1/6/2023,1,无保留,688443.SH
1/6/2023,1,无保留,688593.SH
1/7/2023,6,未经审计,688529.SH
1/10/2023,1,无保留,301373.SZ
1/10/2023,1,无保留,301260.SZ
1/10/2023,1,无保留,603307.SH
1/10/2023,1,无保留,688612.SH
1/11/2023,1,无保留,301505.SZ
1/11/2023,1,无保留,301272.SZ
1/11/2023,1,无保留,688638.SH
1/12/2023,6,未经审计,000751.SZ
1/12/2023,6,未经审计,300988.SZ
1/12/2023,1,无保留,688693.SH
1/12/2023,1,无保留,688450.SH
1/13/2023,1,无保留,301358.SZ
1/13/2023,1,无保留,688515.SH
1/16/2023,1,无保留,301419.SZ
1/16/2023,1,无保留,001314.SZ
1/18/2023,6,未经审计,601018.SH
1/18/2023,6,未经审计,601098.SH
1/18/2023,6,未经审计,603053.SH
1/20/2023,1,无保留,002176.SZ
1/20/2023,6,未经审计,688519.SH
1/20/2023,6,未经审计,688678.SH
1/20/2023,1,无保留,688307.SH
1/21/2023,1,无保留,603056.SH
1/21/2023,6,未经审计,603056.SH
1/30/2023,1,无保留,300804.SZ
1/30/2023,1,无保留,001260.SZ
1/30/2023,1,无保留,688523.SH
1/30/2023,1,无保留,688646.SH
1/31/2023,1,无保留,600310.SH
1/31/2023,6,未经审计,600310.SH
1/31/2023,1,无保留,301303.SZ
1/31/2023,1,无保留,603190.SH
1/31/2023,1,无保留,688486.SH
2/2/2023,1,无保留,688582.SH
2/3/2023,6,未经审计,688016.SH
2/3/2023,6,未经审计,688316.SH
2/6/2023,1,无保留,001311.SZ
2/6/2023,1,无保留,001225.SZ
2/6/2023,1,无保留,603073.SH
2/8/2023,6,未经审计,601231.SH
2/9/2023,1,无保留,301059.SZ
2/9/2023,1,无保留,603065.SH
2/10/2023,1,无保留,000815.SZ
2/10/2023,1,无保留,301408.SZ
2/10/2023,1,无保留,001278.SZ
2/10/2023,1,无保留,688522.SH
